Assamese_Sentence	English_Translation
ইফালে সমগ্ৰ পৃথিৱীতে কোৰোনা মহামাৰীয়ে চূড়ান্ত মানৱীয় সংকট সৃষ্টি কৰাৰ মূহুৰ্তত কোৰোনা মহামাৰী আক্ৰান্ত ৰাখাইন আৰু চীন প্ৰদেশত প্ৰত্যেক দিনাই নৃসংশভাৱে শিশু-নাৰী হত্যা কৰা ঘটনা খুবেই দুৰ্ভাগ্যজনক বুলি আখ্যা দিছে শিশু সুৰক্ষা আৰু সশস্ত্ৰ সংঘৰ্ষ বিষয়ক ৰাষ্ট্ৰসংঘৰ বিশেষ প্ৰতিনিধি ভাৰ্জিনিয়া গাম্বাই।	Meanwhile, United Nations Special Rapporteur on Child Protection and Armed Conflict Virginia Gamba has termed as very unfortunate the brutal killings of children and women every day in the epidemic-hit Rakhine and Chin provinces at a time when the pandemic is creating the ultimate humanitarian crisis across the world.
এনেকৈয়ে বহুকেইখনত দেশত বৰ্তমানলৈ কোৰোনা যুজখনত মহিলা নেত্ৰীসকল সাহসেৰে অৱৰ্তীণ হৈছে।	Similarly, in many countries, women leaders have emerged bravely in the current Corona era.
এক প্ৰকাৰ এখন ক্ষুদ্ৰ পক্ষী উদ্যানলৈ পৰিণত হৈছে ঢকুৱাখনাৰ শ্ৰী শ্ৰী বাসুদেৱথান নৰোৱা সত্ৰৰ চৌহদ।	In a way, it has become a miniature bird park in the premises of Shri Shri Vasudevthan Naroa Satra, Dhakuwakhona.
যদিহে কোনো লোকে অযুগ্ম সংখ্যাৰ বাহন চলাই তেন্তে তেওঁ তাৰ বাবে জৰিমনা দিব লাগিব।	If a person drives an odd number of vehicles, he will have to pay a fine for it.
গুজৰাট কংগ্ৰেছৰ প্ৰৱক্তা মণীষ দোশীয়ে কয়, বিজেপিয়ে আমাৰ নেতাক লৈ কৰা মন্তব্য অতি দুৰ্ভাগ্যজনক।	"Gujarat Congress spokesperson Manish Doshi said, ""The comments made by the BJP about our leader are very unfortunate."
পৰিস্থিতি বিষম দেখি সভাস্থলীৰ পৰা পলায়ন টেৰছ গোৱালাৰ।	Seeing the situation tense, the terrace gardener ran away from the meeting place.
উল্লেখ্য যে, ভাৰততো প্ৰায় ১০ গৰাকী কোৰোনাত আক্ৰান্ত ব্যক্তিক সম্পূৰ্ণৰূপে সুস্থ কৰি তোলা হৈছে।	It is to be noted that about 10 corona infected persons have also been completely cured in India.
ক্ষুদ্ৰ উদ্যোগখণ্ডক লৈ এক বিশেষ আচঁনি কাৰ্যকৰী কৰাৰ কথা সদৰী কৰিছে ৰাষ্ট্ৰীয় সংবাদমাধ্যমে।	The national media has reported about the implementation of a special scheme for the small-scale industry sector.
পথটোৰে উজনি মাজুলীৰ বহু ছাত্ৰছাত্ৰীয়ে পূৱ মাজুলী মহাবিদ্যালয় , বনগাওঁ আই টি আই, মেৰাগড় নাৰায়ন দেব উচ্চতৰ মাধ্যমিক বিদ্যালয়, বনগাওঁ বালিকা বিদ্যালয় , চামগুৰি সত্ৰ ৰাৱনাপাৰ উচ্চতৰ মাধ্যমিক বিদ্যালয় , ৰাৱনাপাৰ বিটিচি, বনগাওঁ পাঞ্জাৱ নেচনেল বেংক, অফলামূখ-দক্ষিনপাট ফেৰীঘাট, জিলা সদৰ গড়মূৰ আৰু কমলাবাৰীলৈ দৈনিক যাত্ৰী আৰু ছাত্ৰ-ছাত্ৰী অহা যোৱা কৰি আহিছে ।	By road, many students from upper Majuli commute daily to East Majuli College, Bongaon ITI, Meragarh Narayan Deb Higher Secondary School, Bongaon Girls'School, Chhakuri Satra Ravanapar Higher Secondary School, Ravanapar BTC, Bongaon Punjab National Bank, Aflamukh-Dakshinpat Ferry Ghat, district headquarters Garhmur and Kamalabari.
এক কথাত ক’বলৈ গ’লে দক্ষতা বিকাশৰ দৰে অতি গুৰুত্বপূর্ণ দায়িত্বভাৰ দিয়া হ’ল বিভাগটোৰ অদক্ষ মন্ত্রী–বিষয়াসকলৰ্ হাতত৷	In a word, very important responsibilities like skill development are given to inefficient ministers and officials of the department.
সভাখনত মুখ্যমন্ত্ৰী বিশেষ প্ৰাথমিক বৃত্তি পৰীক্ষাত বৃহত্তৰ হাজৰিকাপাৰা অঞ্চলৰ পৰা সৰ্বোচ্চ নম্বৰ লাভ কৰা ২০১৭  ২০১৮ বৰ্ষৰ ২১ নং দৌলগুৰি প্ৰাথমিক বিদ্যালয়ৰ বৰষা শৰ্মা আৰু দ্বিতীয় স্থান প্ৰাপ্ত হাজৰিকাপাৰা বালিকা বুনিয়াদী বিদ্যালয়ৰ কৃষ্ণা কলিতা ২০১৮  ২০১৯ বৰ্ষৰ প্ৰথম বৰচলা প্ৰাথমিক বিদ্যালয়ৰ মৃন্ময় ডেকা, দ্বিতীয় সৰ্বোচ্চ নম্বৰ প্ৰাপ্ত ২১ নং দৌলগুৰি প্ৰাথমিক বিদ্যালয়ৰ দ্বীগবিজয় কলিতাক অভিনন্দন জ্ঞাপন কৰা এই অনুষ্ঠানত কৃতি শিক্ষক মৃণাল নাথে সন্তানক সংস্কাৰৰ শিক্ষা প্ৰদান কৰা, মোবাইল চোৱাৰ পৰা সন্তানক বাধা প্ৰদান কৰাৰ আগতে অনবৰতে সন্তানৰ সন্মুখত মোবাইল পিটিকি থকাটো পিতৃ-মাতৃয়ে বন্ধ কৰিব লাগিব বুলি তেওঁ উল্লেখ কৰে।	In the meeting, the Chief Minister congratulated Barsha Sarma of No. 21 Daulaguri Primary School, Hazarikapara area, who secured the highest marks in the CMS Special Primary Scholarship Examination, 2017, Krishna Kalita of No. 21 Daulaguri Primary School, Hazarikapara, who secured the second rank, Mrinmoy Deka of No. 1 Barsala Primary School, 2018, 2019, and Dwigabijay Kalita of No. 21 Daulaguri Primary School, who secured the second highest marks.
পাছত বুধবাৰে পুৱা প্ৰায় ১০ বজাত যুৱতী গৰাকীয়ে নিজ পিতৃ আৰু আত্মীয়ক লগত লৈ আহি ডবকা আৰক্ষী থানাত উপস্থিত হয়হি ৷	Later, around 10am on Wednesday, the young woman arrived at the Dabka police station with her father and relatives.
ইয়াৰ ভিতৰতে আছে এগৰাকী বিষয়া, ৬গৰাকী মহিলা আৰু ৯টা শিশু।	This includes one officer, 6 women and 9 children.
যোৱা নির্বাচনৰ সময়ত অসমত বিজেপিয়ে চৰকাৰ গঠন কৰিলে এক লাখ নিবনুৱাক চাকৰি দিয়াৰ প্রতিশ্রুতি দিছিল৷	During the last elections in Assam, the BJP had promised to give jobs to one lakh unemployed people if it formed the government.
আজি জুৰোডস্থিত মুখ্য কাৰ্যালয়ত সংবাদমেল সম্বোধন কৰে অসম জাতীয় পৰিষদৰ সভাপতি লুৰীণজ্যোতি গগৈয়ে৷	Assam Jatiya Parishad president Lurinjyoti Gogoi addresses a press conference at its headquarters in Jorod today.
আৰু পঢ়িব পাৰিব: শত্ৰুতা পাহৰি ভাৰতৰ সৈতে থকাৰ বাৰ্তা পাক প্ৰধানমন্ত্ৰীৰ…	Also Read: Pakistan PM's message to India is to forget enmity
১৯৫২ চনৰ ২৪ জুলাইত শোণিতপুৰ জিলাৰ মোনাবাৰী চাহ বাগিচাত জন্মগ্ৰহণ কৰা কুমুদ চন্দ্ৰ হাজৰিকাই পিছলৈ হৈ পৰে ৰঞ্জু হাজৰিকা৷	Born on 24 July 1952 at Monabari Tea Estate in Sonitpur district, Kumud Chandra Hazarika later became Ranju Hazarika.
ৰাজহ চক্ৰ বিষয়াৰ মাটিৰ মালিকক আহ্বান জনাই কয় যে পাৱাৰগ্ৰীডৰ বিদ্যুতৰ খুটা বহুওৱাৰ ক্ষেত্ৰত কোনেও বাধা প্ৰদান কৰিব নোৱাৰিব।	The Revenue Circle Officer appealed to the owner of the land and said that no one would be able to obstruct the erection of electricity poles of the power grid.
সেইবাবেই আজি জাৰি কৰিছে সান্ধ্য আইন।	That is why the Evening Act has been issued today.
আনহাতে, ট্ৰাক দুখনৰ মালিক ডিমাপুুৰৰ নবেল ৰায় আৰু বিহাৰৰ বিনোদ আগৰৱলাৰ বিপক্ষেও আৰক্ষীয়ে পৃথকে গোচৰ ৰজু কৰিছে ৷	On the other hand, the police have also registered separate cases against the owners of the two trucks, Nobel Ray of Dimapur and Vinod Agarwal of Bihar.
শ্বহীদক অৱমাননা কৰি তেওঁ অক্ষমণীয় অপৰাধ কৰিছে৷	By insulting the martyr, he has committed an unpardonable crime.
ঘটনাস্থলীত ডিব্ৰুগড় আৰক্ষী অধীক্ষক স্বেতাংগ মিশ্ৰাসহ বৃহৎ আৰক্ষী আৰু অৰ্ধসামৰিক বাহিনী উপস্থিত হৈ সকলো নিৰিক্ষণত ৰাখিছে বুলি জানিব পৰা গৈছে।	Heavy police and paramilitary forces, including Dibrugarh Superintendent of Police Swetang Mishra, are reportedly present at the spot and keeping everyone under surveillance.
দ্বিতীয় পালি প্ৰতিষেধক লোৱাৰ ৯ মাহ অতিক্ৰম কৰা লোকসকলেও সুৰক্ষাসূচক পালি ল’ব পাৰিব বুলি অতিৰিক্ত উপায়ুক্তগৰাকীয়ে সদৰি কৰে৷	People who have crossed 9 months after taking the second dose of vaccine will also be able to take the protective dose, the additional deputy commissioner said.
যি সময়ত পেলনীয়া প্লাষ্টিকে পৰিবেশৰ প্ৰতি ভয়াবহ বিপদ মাতি আনিছে, যাৰ বাবে সমগ্ৰ দেশতে প্লাষ্টিক বৰ্জনৰ বাবে চৰকাৰে ব্যৱস্থা গ্ৰহণ কৰিছে, সেই সময়তে পেলনীয়া প্লাষ্টিক বটলৰ সদ ব্যৱহাৰক সকলোৱে শলাগ লৈছে।	At a time when plastic is posing a serious threat to the environment, due to which the government is taking measures to boycott plastic across the country, the good use of plastic bottles is being appreciated by all.
এন আৰ চি সন্দৰ্ভত অনুষ্ঠিত হ’ব এই বৈঠকখন।	The meeting will be held on the NRC.
সমান্তৰালভাৱে চক্র বিষয়াৰ কার্যালয়সমূহে তৎকালীন এই উপার্জনৰ প্রমাণ–পত্র প্রদান নকৰাত একাংশ শিক্ষার্থী নামভর্তিৰ পৰা বঞ্চিত হোৱাৰ সম্ভাৱনায়ো দেখা দিছে৷	At the same time, there is a possibility that some students may be denied admission if the Circle Officer's offices do not provide this earning certificate at that time.
বিগত কেইবাদিন ধৰি এই অঞ্চলত ব্ৰহ্মপুত্ৰ নদীৰ খহনীয়াই ভয়ংকৰ ৰূপ লৈছে।	The Brahmaputra river has been in spate in the region for the past few days.
সেয়েহে সমাজৰ প্ৰতিগৰাকী পুৰুষ- মহিলাই সুস্থ মানসিকাতৰে নিজৰ নিজৰ ঘৰ খনক গঢ় দিয়ে তেতিয়াহে এখন সুস্থ সমাজ আৰু সমাজত সুস্থ নাগৰিকৰ জন্ম লাভ কৰিব ৷	Therefore, a healthy society and a healthy citizen will be born only when every man and woman of the society builds their own house with a healthy mind.
ডিজিটেল ডেস্ক: কাছাৰত পুনৰ এনকাউণ্টাৰ ৷	Digital Desk: Encounter in Cachar again.
শিলচৰ চিকিৎসা মহাবিদ্যালয় হাস্পতালত মৃত্যু হোৱা ৰোগী গৰাকীৰ নাম তেহলিনা আখতাৰ।	The patient who died at Silchar Medical College Hospital is Tehlina Akhter.
শুভ ৰং ক্রীম৷	Good colour is cream.
বিশ্বনাথৰ বাঘমাৰিত স্বাধীনতা দিৱসৰ দিনা সংঘটিত হৈছিল এক শোকাৱহ পথ দুৰ্ঘটনা।	A tragic road accident took place on Independence Day in Baghmari, Biswanath.
২৪ ডিচেম্বৰ (মঙলবাৰ)ৰ পৰা টিকট ক্ৰয় কৰিব পাৰিব ক্ৰীড়াপ্ৰেমীসকলে।	Sports fans will be able to buy tickets from 24 December (Tuesday).
য’ত বাঘজানবাসীৰ ঘৰ–দুৱাৰ, খেতিপথাৰ ছাৰখাৰ হৈ গৈছিল৷	Where the houses and farms of the people of Baghjan used to be covered.
দিল্লী পৰিস্থিতিক লৈ মাজনিশা বিচাৰপীঠ বহাই চৰকাৰ, আৰক্ষীক কঠোৰ নিৰ্দেশ দিয়া ন্যায়াধীশক বদলি	Judge who passed strictures on govt, police transferred after midnight hearing on Delhi situation
আমি বিচাৰো যে ৰাজ্যখনত এনআৰচি পুনৰ সম্পন্ন হওক’ তেওঁ কয়।	"We want the NRC to be carried out again in the state, ""he said."
জয়পুৰ উন্নয়ন খণ্ডৰ প্ৰেক্ষাগৃহত ধাদুমীয়া,বৰবাম আৰু দীঘলীয়া পঞ্চায়তক লৈ আয়োজন কৰা বিশেষ গাওঁসভাত এই পুৰস্কাৰটি আনুষ্ঠানিক ভাবে প্ৰদান কৰা হয়।	The award was formally presented at a special Gram Sabha held in the auditorium of Jaipur Development Block involving Dhadumia, Borbam and Digha Panchayats.
কিন্তু সেই কাৰ্যত চৰকাৰ সফল হোৱা নাছিল।	But the government failed to do so.
কন্যাৰ স্বাস্থ্যৰ সন্দৰ্ভত শেহতীয়াকৈ নিজেই সদৰি কৰিলে ৰাষ্ট্ৰপতিগৰাকীয়ে।	The health of the daughter was recently reported by the president himself.
পিকেই কংগ্রেছত যোগ দিছে নেকি? এই চৰ্চাই চলিছে ৰাজনৈতিক মহলত।	Has Piku joined Congress? This is the debate going on in the political circles............................................................................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
উল্লেখ্য যে পঞ্চায়ত সদস্য হেমেন কলিতাৰ বিৰুদ্ধে পুৰ্বেও চৰকাৰী আচনিঁ ৰূপায়নত ব্যাপক দুৰ্নীতি সংঘটিত কৰি চৰকাৰী ধন আত্মসাৎ কৰাৰ একাধিক অভিযোগ আছে।	It may be mentioned that panchayat member Hemen Kalita is facing multiple charges of embezzlement of government funds by indulging in massive corruption in government functioning in the past as well.
সংগঠন দুটাই অহা ২৩ ছেপ্তেম্বৰত উল্লিখিত দাবীত ৰাজধানী দিল্লীৰ যন্ত্ৰৰ-মন্ৰৰত ধৰ্ণা কাৰ্যসূচী ৰূপায়ণ কৰি কেন্দ্ৰ চৰকাৰকে ধৰি উচ্চতম ন্যায়ালয়ৰ দৃষ্টি আকৰ্ষণ কৰাৰ সিদ্ধান্ত গ্ৰহণ কৰা বুলি প্ৰকাশ কৰে৷	The two organisations said they have decided to draw the attention of the Supreme Court, including the central government, by staging a sit-in at Yantra-Mantra in the capital on September 23 to press for their stated demands.
অনুসূচিত জাতি যুৱ ছাত্ৰ পৰিষদৰ নগাঁও জিলাৰ উদ্যোগত শুকুৰবাৰে প্ৰতিবাদী জোৰ সমদল বাহিৰ কৰা হয়৷	The Nagaon district unit of the Scheduled Castes Youth Students'Council took out a protest rally on Friday.
গ্ৰুপ পৰ্যায়ত ভাৰতে শীৰ্ষস্থানত থাকিলেও ছেমিফাইনেলত নিউজিলেণ্ডৰ হাতত পৰাজিত হৈছিল।	India topped the group stage but lost to New Zealand in the semifinals.
বিদেশৰ সংবাদ মাধ্যমতো চৰ্চিত হৈ পৰিছে ৰোডিগ্ৰ’ দুতেৰ্তে।	Rodrigo Duterte has also been in the spotlight in foreign media.
ইয়াৰ মাজতেই কাবুল বিমানবন্দৰত আইছিছে ভয়াৱহ আক্রমণ চলোৱাত ১৩ মার্কিন সেনাসহ ১৭০জনৰ প্রাণহানি হয়৷	Among them, 170 people, including 13 US troops, lost their lives when ISIS launched a horrific attack on the Kabul airport.
অনুৰূপ মন্তব্য ৰাজ্যসভাৰ ছাব–র্ডিনেট লেজিছলেচাৰ কমিটীৰ অধ্যক্ষ প্রতাপ সিং বাজৱায়ো৷	A similar statement was made by Pratap Singh Bajwa, Chairman of the Subordinate Legislators Committee of the Rajya Sabha.
ইতিমধ্যে যুৱকজনে সবিশেষ জনাইছিল আৰক্ষীক।	The youth has already given details to the police.
উল্লেখ্য যে, বৃহস্পতিবাৰৰ শিল্পীৰ এই গণ অৱ্স্থান কাৰ্যসূচীত কা বিৰোধী প্ৰতিবাদত প্ৰাণ হেৰুৱা সকলক স্মৰণ কৰা হয়।	It should be noted that Thursday's artists'mass sit-in commemorates those who lost their lives in the anti-Ka protests.
প্ৰত্যুত্তৰত প্ৰশাসন বিভাগে ১৯.৪ অভাৰত ৩ টা উইকেট হেৰুৱাই জয়ৰ লক্ষ্যত উপনীত হয়।	In reply, Administration reached the victory target in 19.4 overs losing 3 wickets.
নিয়মীয়া বাৰ্তা, ২৪ ছেপ্টেম্বৰঃ ক’ৰোনা ভাইৰাছে ক্রমাৎ মাৰণ ক্ষমতা হেৰুৱাইছে৷	Regular message, 24 September: The corona virus is gradually losing its ability to kill.
ঝাৰখণ্ডৰ মুখ্যমন্ত্ৰী ৰঘুবৰ দাসৰ জন আশীৰ্বাদ যাত্ৰা’ৰ শুভাৰম্ভ কৰি প্ৰদান কৰা ভাষণত কেন্দ্ৰীয় মন্ত্ৰীগৰাকীয়ে কয়, এইবাৰ নিৰ্বাচনত প্ৰমাণ হ’ব জনতাই কাৰ সৈতে থাকিব বিচাৰে।	In his address at the launch of Jharkhand Chief Minister Raghubar Das'Jan Ashirwad Yatra ', the Union Minister said, this time the election will prove who the people want to be with.
মাৰ্ব’লৰ আঘাততহে হেনো এনেদৰে ফুটা হ’ল মাংস দোকানখনৰ গ্লাছ।	The glass of the meat shop was broken in such a way that it hit the marble.
ৰাষ্ট্ৰসংঘই ম্যানমাৰ চৰকাৰক শীঘ্ৰে আন্তঃৰাষ্ট্ৰীয় আইন দায়িত্ব পালন কৰিবলৈ সকীয়াই দিছে ।	The United Nations has warned the Myanmar government to immediately comply with international law.
জিলা খনৰ সীমা কৰ্তনত কংগ্ৰেছৰ নেতা জড়িত হৈ থকাৰ অভিযোগ উঠিছে।	There have been allegations of Congress leaders being involved in the boundary cutting of the district.
পথ দুৰ্ঘটনাত মৃত্যু হোৱা সাংবাদিকৰ অন্ত্যোষ্টিক্ৰিয়া সম্পন্ন	Funeral held for journalist who died in road accident
আৰক্ষীয়ে গ্ৰেপ্তাৰ কৰা সকলৰ ভিতৰত আছে এগৰাকী অসমীয়া ছাত্ৰীও।	An Assamese student is among those arrested by the police.
ভৈয়াম জনজাতি–পিছপৰা শ্রেণী কল্যাণ বিভাগৰ সচিব বিনীতা পেগুক অতিৰিক্তভাৱে পৰিৱেশ আৰু বন বিভাগৰ লগতে ষ্টেট এনকুৱেৰী অফিচাৰ আৰু অভিলেখাগাৰ সঞ্চালকৰ দায়িত্বও অর্পণ কৰা হৈছে৷	Binita Pegu, Secretary, Tribal and Backward Classes Welfare Department, Bhayam, has been given the additional charge of Environment and Forest Department as well as State Enquiry Officer and Director of Archives.
অসমলৈ ৬০৮ কোটি অনুমোদন নাবার্ডৰ	NABARD approves Rs 608 crore for Assam
টি–২০ বিশ্বকাপত পূর্বৰ পাঁচবাৰৰ মুখামুখিত প্রতিবাৰেই শেষ হাঁহি মাৰিবলৈ সক্ষম হোৱা টীম ইণ্ডিয়াই দেওবাৰে মেচৰ আৰম্ভণিৰে পৰা তীব্র প্রত্যাহ্বানৰ সন্মুখীন হয়৷	Team India, who have managed to have the last laugh in each of their previous five encounters in the T20 World Cup, faced a stiff challenge from the start of the match on Sunday.
তৃতীয় প্রকাৰৰ কেটেলাইছিছ, যাক এচিমেট্রিক অর্গেনোকটেলাইছিছ হিচাপে বিকশিত কৰা বিজ্ঞানী দুগৰাকীৰ এই উদ্ভাৱনে ক্ষুদ্র জৈৱ অণু গঠন কৰিব পাৰে৷	This innovation by two scientists who developed tertiary catalysis, also known as asymmetric organocatalysis, can form small biomolecules.
প্ৰাপ্ত তথ্য অনুসৰি উত্তৰ লখিমপুৰ ৰাজহ চক্ৰৰ ৪৪ খন, নাওবৈচাৰ ৬ খন,কদম ৰাজহ চক্ৰৰ ১ খন, নাৰায়ণপুৰৰ ৩০ খন, বিহপুৰীয়াৰ ৩৪ খন সোৱণশিৰীৰ ৬ খন আৰু ঢকুৱাখনা ৰাজহ চক্ৰৰ ৮ খন গাঁও আজিও বানত ডুব গৈ আছে।	According to the information received, 44 villages of North Lakhimpur Revenue Circle, 6 villages of Naobaicha, 1 village of Kadam Revenue Circle, 30 villages of Narayanpur, 34 villages of Bihpuriya, 6 villages of Swansiri and 8 villages of Dhakuakhana Revenue Circle are still submerged in the flood.
ইয়াৰ মাজতে কংগ্ৰেছ নেত্ৰী প্ৰিয়ংকা গান্ধীৰ স্বামী তথা ব্যৱসায়ী ৰবাৰ্ট বাদ্ৰাই ৰাহুল গান্ধীয় দলটোৰ অধ্যক্ষ পদৰ পৰা পদত্যাগ কৰাক লৈ কৰিছে ফেচবুকত পেজত পোষ্ট।	Meanwhile, Congress leader Priyanka Gandhi's husband and businessman Robert Vadra posted on his Facebook page about Rahul Gandhi's resignation as party president.
হঠাতে এই পৱনহংস হেলিকপ্টাৰ দুৰ্ঘটনাত পতিত হয়বুলি অভিযোগ উত্থাপিত হৈ আহিছে।	There have been allegations that the Pawan Hans helicopter crashed suddenly.
বৃহস্পতিবাৰে তেওঁলোকে ৪ টা দলত বিভক্ত হৈ মহানগৰীৰ ওদালবাক্ৰাৰ লগতে বিভিন্ন স্থানত খাদ্য সামগ্ৰী বিতৰণ কৰে।	On Thursday, they divided into 4 groups and distributed food items at different places including Odalbakra in the city.
যোগী আদিত্যনাথৰ লগতে এই সাক্ষাৎকালত উপস্থিত থাকে বিজেপিৰ কাৰ্যকৰী অধ্যক্ষ জে পি নড্ডাও।	BJP working president JP Nadda was also present at the meeting.
দেশৰ মুখ্য নিৰ্বাচনী আয়ুক্ত সুনীল আৰোৰাৰ সংবাদমেল।	Chief Election Commissioner Sunil Arora.
শেহতীয়াকৈ ভাৰতত পৰ্দাপণ কৰা কোৰোনা ভাইৰাছৰ সন্দৰ্ভতো প্ৰধানমন্ত্ৰীয়ে বক্তব্য ৰাখে।	The Prime Minister also spoke about the coronavirus outbreak that has recently hit India.
কাজিয়া এই পৰ্যায় পাইছিলগৈ যে, পত্নীক উপৰ্যুপৰি প্ৰহাৰ কৰিছিল শুক্ৰেশ্বৰে।	Kazia reaches the stage that Shukreshwar has beaten up his wife.
ইফালে কংগ্ৰেছ অধ্যক্ষ ৰাহুল গান্ধীৰ বিৰুদ্ধে প্ৰতিদ্বন্দ্বিতা কৰিবলৈ প্ৰস্তুতি চলোৱা কে ৰাঘুল গান্ধীৰ পিতৃ কৃষ্ণন পি বৰ্তমানৰ এআইএমডিকেৰ এগৰাকী সক্ৰিয় নেতা যদিও পূৰ্বতে তেৱোঁ কংগ্ৰেছৰ এগৰাকী সমৰ্থক আছিল।	Meanwhile, K Raghul Gandhi's father Krishnan P, who is preparing to contest against Congress president Rahul Gandhi, is now an active leader of the AIMDK, though he was a Congress supporter in the past.
নগাঁৱত চোৰাং গৰু সৰবৰাহকাৰীক কেৱল বৰঘাট আৰক্ষী চকীৰ কনিষ্টবল আৰু হোমগার্ডেহ নহয়, জিলাখনৰ আন একাংশ আৰক্ষী থানাৰ আৰক্ষীয়েও সহায় কৰি থকা আৰু এহ কাৰবাৰত আন ক্ষেত্রৰ লোকো জডিত থকাৰ তথ্যও নগাঁও আৰক্ষীয়ে লাভ কৰিছে বুলি সদৰী কৰি তেওঁ কয়– যিয়েহ জডিত আছে সকলোকে গ্রেপ্তাৰ কৰিম৷	Nagaon Police has received information that not only constables and home guards of Barghat Police Station but also police from other police stations of the district are helping the cattle smugglers in Nagaon and people from other areas are also involved in this business, he said, adding that all those who are involved will be arrested.
আচৰিত নহব।	Don't be surprised.
বানমুক্ত অসমৰ সপোন এতিয়াও সুদূৰপৰাহত৷	The dream of a flood-free Assam is still far away.
আজিৰ শুভাৰম্ভণি কাৰ্যসূচীত কামৰূপৰ উপায়ুক্ত কৈলাশ কাৰ্তিক এন, এফ.ডব্লিউৰ সঞ্চালক মুনীন্দ্ৰ সিং নাটে, এন.এইচ.এমৰ মিছন এচ লক্ষ্মণন, আজাৰা প্ৰাথমিক স্বাস্থ্য কেন্দ্ৰৰ ভাৰপ্ৰাপ্ত মহকুমা স্বাস্থ্য বিষয়া ডা: ধ্ৰুৱজ্যোতি বৰুৱা, উপ অধীক্ষক ডা: এন.চি শৰ্মা বৰদলৈকে ধৰি স্বাস্থ্য বিভাগৰ বহু উচ্চপদস্থ বিষয়া, বহুমুখী স্বাস্থ্য কৰ্মী , এ এন এম, আশাকৰ্মীসকল উপস্থিত থাকে।	Today's launch event was attended by Deputy Commissioner of Kamrup Kailash Kartik N, এফ.ডব্লিউৰ Director Munindra Singh Nate, এন.এইচ.এমৰ Mission Director S Lakshmanan, Dr. Dhrubajyoti Baruah, in-charge Sub Divisional Health Officer, Azara Primary Health Centre, Dr. এন.চি Sharma Barad, Deputy Superintendent, and many senior officers of the health department, multidisciplinary health workers, ANMs, ASHA workers.
তেওঁ লগতে কয়- কিছুমান বিষয়ত মহিলাসকলে বহলভাৱে চিন্তা কৰিব লাগিব ।	She also said that women need to think big on certain issues.
ঘাঁহিগাঁৱত সমৱেত ৰাইজক সম্বোধন কৰি মুখ্যমন্ত্রী ড০ শর্মাই অঞ্চলটোৰ ৰাইজৰ দীর্ঘদিনীয়া দাবীৰ প্রতি সঁহাৰি জনাই হেলেম চৰকাৰী সাহায্যপ্রাপ্ত ৰাজ্যিক চিকিৎসালয়খনক ৫০খন বিছনাযুক্ত চিকিৎসালয়লৈ উন্নীত কৰাৰ আশ্বাস প্রদান কৰে৷	While addressing the gathering at Ghasigaon, Chief Minister Dr. Sarma assured to upgrade the Helem Government Aided State Hospital to a 50-bedded hospital in response to the long-standing demand of the people of the area.
চেন্নাইত অসম অভিমুখী স্পাইচ জেট বিমানৰ যান্ত্ৰিক বিজুতি	Technical snag hits Assam-bound SpiceJet flight in Chennai
চি বি আইৰ কলকাতাস্থিত কার্যালয়ে ইয়াৰ তদন্তৰ দায়িত্ব লৈ ক্রমে আৰ চি ৫/ই/২০০১–কলকাতা আৰু আৰ চি ৬/ই/২০০১–কলকাতা নম্বৰৰ গোচৰ দুটা নিজাববীয়াকৈ ৰুজু কৰে৷	The CBI's Kolkata office took over its investigation and registered two suo motu cases, RC 5 / E / 2001-Kolkata and RC 6 / E / 2001-Kolkata respectively.
জনতাই খাম, চিফুঙৰ তালে তালে বাগৰুম্বা নৃত্য প্ৰদৰ্শন কৰি এক উৎসৱমুখৰ পৰিৱেশৰ সৃষ্টি কৰে।	People perform Bagrumba dance to the beats of Kham, Chifung creating a festive atmosphere.
সভাত বালাজান তিনালী মাৰ্চেণ্ট এছোছিয়েচনৰ নৱনিৰ্বাচিত সভাপতি ধনঞ্জয় নাথ আৰু সম্পাদক দৰবিন্দ্ৰ বসুমতাৰীয়ে নিষ্ঠা আৰু সততাৰে তেওঁলোকে নিজৰ দায়িত্ব পালন কৰিবলৈ অহোপুৰোষাৰ্থভাৱে প্ৰচেষ্ঠা চলাব বুলি মন্তব্য কৰি ব্যৱসায়ীসকলৰ প্ৰতিটো সমস্যা সমাধানত গুৰুত্ব দিব বুলি মন্তব্য কৰে।	In the meeting, the newly elected president of Balajan Tiniali Merchant Association, Dhananjay Nath and secretary Darbindra Basumatary said that they would work tirelessly to fulfill their responsibilities with sincerity and honesty and would focus on solving every problem of the traders.
